n,noise,lambda_fa,reps,mean_edits,error,false_allow_rate,false_block_rate,unique_optimum_rate
128,0.0,1.0,200,1.82,0.0184375,0.006779661016949152,0.15600000000000003,0.195
128,0.0,2.0,200,2.115,0.013828125,0.0017796610169491525,0.15600000000000003,0.225
128,0.0,4.0,200,2.115,0.013828125,0.0017796610169491525,0.15600000000000003,0.225
128,0.0,8.0,200,2.115,0.013828125,0.0017796610169491525,0.15600000000000003,0.225
128,0.05,1.0,200,1.725,0.0210546875,0.008177966101694916,0.17300000000000001,0.21
128,0.05,2.0,200,1.98,0.0179296875,0.003177966101694915,0.192,0.285
128,0.05,4.0,200,2.04,0.01828125,0.0024152542372881357,0.20550000000000002,0.31
128,0.05,8.0,200,2.05,0.018359375,0.002330508474576271,0.2075,0.325
256,0.0,1.0,200,2.845,0.002421875,0.000847457627118644,0.021,0.775
256,0.0,2.0,200,2.895,0.001640625,0.0,0.021,0.79
256,0.0,4.0,200,2.895,0.001640625,0.0,0.021,0.79
256,0.0,8.0,200,2.895,0.001640625,0.0,0.021,0.79
256,0.05,1.0,200,2.625,0.00671875,0.002076271186440678,0.061500000000000006,0.555
256,0.05,2.0,200,2.635,0.007890625,0.0007203389830508475,0.0925,0.61
256,0.05,4.0,200,2.545,0.0125390625,0.00046610169491525426,0.155,0.63
256,0.05,8.0,200,2.56,0.01453125,0.00046610169491525426,0.1805,0.72
